time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
1.72,-0.856,-0.482,-0.091,-0.244,-2.563,3.845,0,0,0
1.73,-0.845,-0.479,-0.088,-0.183,-2.625,3.113,0,0,0
1.74,-0.849,-0.481,-0.088,0.061,-2.747,2.625,0,0,0
1.75,-0.843,-0.482,-0.091,0.366,-2.991,1.892,0,0,0
1.76,-0.841,-0.477,-0.087,0.671,-3.113,1.038,0,0,0
1.77,-0.847,-0.484,-0.092,0.977,-4.028,0.183,0,0,0
1.78,-0.855,-0.487,-0.094,0.854,-4.517,0.061,0,0,0
1.79,-0.863,-0.49,-0.096,0.916,-4.883,-0.366,0,0,0
1.8,-0.864,-0.48,-0.097,1.343,-4.883,-0.122,0,0,0
1.81,-0.879,-0.479,-0.098,1.892,-5.188,-1.404,0,0,0
1.82,-0.882,-0.477,-0.1,2.502,-5.188,-1.77,0,0,0
1.83,-0.874,-0.476,-0.092,3.662,-3.357,-2.93,0,0,0
1.84,-0.883,-0.478,-0.095,4.822,-3.052,-2.686,0,0,0
1.85,-0.869,-0.474,-0.086,4.333,-1.953,-2.38,0,0,0
1.86,-0.862,-0.467,-0.088,4.395,-2.625,-1.404,0,0,0
1.87,-0.854,-0.463,-0.086,4.822,-2.686,-0.122,0,0,0
1.88,-0.843,-0.461,-0.081,4.883,-2.747,0.61,0,0,0
1.89,-0.852,-0.472,-0.083,5.066,-4.028,1.465,0,0,0
1.9,-0.864,-0.488,-0.085,4.028,-4.089,2.38,0,0,0
1.91,-0.869,-0.493,-0.09,3.54,-3.296,3.113,0,0,0
1.92,-0.865,-0.498,-0.089,3.052,-2.136,4.761,0,0,0
1.93,-0.85,-0.493,-0.082,1.831,-1.404,6.409,0,0,0
1.94,-0.84,-0.491,-0.078,1.221,-1.526,7.935,0,0,0
1.95,-0.854,-0.509,-0.075,1.892,-1.282,8.484,0,0,0
1.96,-0.842,-0.517,-0.068,1.465,-0.61,8.728,0,0,0
1.97,-0.841,-0.528,-0.064,0.916,-1.709,8.362,0,0,0
1.98,-0.854,-0.542,-0.061,0.488,-1.953,7.08,0,0,0
1.99,-0.855,-0.546,-0.061,-0.183,-1.831,6.348,0,0,0
2,-0.846,-0.537,-0.057,-1.465,-1.892,4.272,0,0,0
2.01,-0.844,-0.531,-0.058,-0.977,-1.77,2.991,0,0,0
2.02,-0.845,-0.526,-0.06,-0.854,-1.892,2.197,0,0,0
2.03,-0.836,-0.515,-0.06,-1.404,-2.136,1.77,0,0,0
2.04,-0.835,-0.515,-0.062,0,-2.136,2.869,0,0,0
2.05,-0.83,-0.517,-0.059,0.427,-2.075,3.235,0,0,0
2.06,-0.823,-0.511,-0.059,0.732,-2.625,4.395,0,0,0
2.07,-0.835,-0.525,-0.064,1.526,-2.625,4.7,0,0,0
2.08,-0.84,-0.527,-0.062,1.099,-2.014,4.822,0,0,0
2.09,-0.831,-0.527,-0.062,-0.366,-1.343,5.066,0,0,0
2.1,-0.826,-0.522,-0.063,-1.038,-0.916,5.066,0,0,0
2.11,-0.811,-0.512,-0.064,-1.343,0.305,4.639,0,0,0
2.12,-0.784,-0.495,-0.056,-1.831,0.916,5.92,0,0,0
2.13,-0.783,-0.502,-0.058,-1.343,-0.916,7.385,0,0,0
2.14,-0.78,-0.509,-0.061,-1.892,-1.587,9.644,0,0,0
2.15,-0.784,-0.507,-0.069,-2.93,-2.502,11.353,0,0,0
2.16,-0.777,-0.51,-0.072,-3.357,-2.625,12.085,0,0,0
2.17,-0.793,-0.525,-0.082,-2.747,-3.54,13.611,0,0,0
2.18,-0.824,-0.542,-0.097,-3.967,-4.211,14.099,0,0,0
2.19,-0.828,-0.544,-0.11,-4.944,-3.845,13,0,0,0
2.2,-0.823,-0.546,-0.107,-4.578,-2.93,11.536,0,0,0
2.21,-0.812,-0.537,-0.107,-5.31,-3.174,9.277,0,0,0
2.22,-0.821,-0.542,-0.112,-4.883,-4.272,7.202,0,0,0
2.23,-0.881,-0.583,-0.124,-2.991,-6.104,5.005,0,0,0
2.24,-0.904,-0.599,-0.129,-4.517,-3.052,2.258,0,0,0
2.25,-0.864,-0.57,-0.127,-4.456,-1.587,0.793,0,0,0
2.26,-0.807,-0.538,-0.103,-3.54,-0.854,0.977,0,0,0
2.27,-0.799,-0.535,-0.108,-4.15,-3.723,-0.061,0,0,0
2.28,-0.791,-0.52,-0.113,-5.005,-4.028,-1.16,0,0,0
2.29,-0.799,-0.528,-0.12,-2.991,-4.944,-1.709,0,0,0
2.3,-0.811,-0.554,-0.121,-2.38,-6.226,-2.563,0,0,0
2.31,-0.88,-0.603,-0.136,-3.479,-9.46,-4.028,0,0,0
2.32,-0.888,-0.592,-0.147,-4.395,-7.263,-5.005,0,0,0
2.33,-0.832,-0.553,-0.131,-4.639,-5.737,-5.92,0,0,0
2.34,-0.842,-0.548,-0.137,-3.296,-9.338,-5.371,0,0,0
2.35,-0.843,-0.536,-0.143,-3.052,-7.751,-6.042,0,0,0
2.36,-0.804,-0.51,-0.137,-0.793,-5.554,-6.409,0,0,0
2.37,-0.796,-0.518,-0.141,0.916,-5.981,-5.798,0,0,0
2.38,-0.795,-0.513,-0.143,0.183,-7.019,-4.883,0,0,0
2.39,-0.793,-0.514,-0.146,1.221,-6.042,-4.272,0,0,0
2.4,-0.795,-0.525,-0.154,2.38,-4.028,-3.845,0,0,0
2.41,-0.8,-0.539,-0.151,1.099,-3.296,-3.601,0,0,0
